CODE,YEAR,VACCINE_DESCRIPTION,INTRO
KAZ,2003,Mumps vaccine,Yes
KAZ,2003,PCV (Pneumococcal conjugate vaccine),No
KAZ,2003,PPV (Pneumococcal polysaccharide vaccine),No
KAZ,2003,Rubella vaccine,No
KAZ,2003,Seasonal Influenza vaccine,No
KAZ,2003,Typhoid,No
KAZ,2003,Varicella vaccine,No
KAZ,2003,YF (Yellow fever) vaccine,No
KAZ,2002,aP (acellular pertussis) vaccine,No
KAZ,2002,Hepatitis A vaccine,No
KAZ,2002,Hepatitis B vaccine,Yes
KAZ,2002,HepB birth dose,Yes
KAZ,2002,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,2002,IPV (Inactivated polio vaccine),No
KAZ,2002,IPV (Inactivated polio vaccine) 2nd dose,No
KAZ,2002,Japanese Encephalitis,No
KAZ,2002,Measles-containing vaccine 2nd dose,Yes
KAZ,2002,Meningococcal meningitis vaccines (all strains),No
KAZ,2002,Mumps vaccine,Yes
KAZ,2002,PCV (Pneumococcal conjugate vaccine),No
KAZ,2002,PPV (Pneumococcal polysaccharide vaccine),No
KAZ,2002,Rubella vaccine,No
KAZ,2002,Seasonal Influenza vaccine,No
KAZ,2002,Typhoid,No
KAZ,2002,Varicella vaccine,No
KAZ,2002,YF (Yellow fever) vaccine,No
KAZ,2001,aP (acellular pertussis) vaccine,No
KAZ,2001,Hepatitis B vaccine,Yes
KAZ,2001,HepB birth dose,Yes
KAZ,2001,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,2001,IPV (Inactivated polio vaccine),No
KAZ,2001,Japanese Encephalitis,No
KAZ,2001,Measles-containing vaccine 2nd dose,Yes
KAZ,2001,Meningococcal meningitis vaccines (all strains),No
KAZ,2001,Mumps vaccine,Yes
KAZ,2001,PCV (Pneumococcal conjugate vaccine),No
KAZ,2001,PPV (Pneumococcal polysaccharide vaccine),No
KAZ,2001,Rubella vaccine,No
KAZ,2001,Seasonal Influenza vaccine,No
KAZ,2001,Varicella vaccine,No
KAZ,2001,YF (Yellow fever) vaccine,No
KAZ,2000,Hepatitis B vaccine,Yes
KAZ,2000,HepB birth dose,Yes
KAZ,2000,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,2000,IPV (Inactivated polio vaccine),No
KAZ,2000,Measles-containing vaccine 2nd dose,Yes
KAZ,2000,Meningococcal meningitis vaccines (all strains),No
KAZ,2000,Mumps vaccine,Yes
KAZ,2000,PCV (Pneumococcal conjugate vaccine),No
KAZ,2000,PPV (Pneumococcal polysaccharide vaccine),No
KAZ,2000,Rubella vaccine,No
KAZ,2000,Seasonal Influenza vaccine,No
KAZ,2000,YF (Yellow fever) vaccine,No
KAZ,1999,Hepatitis B vaccine,Yes
KAZ,1999,HepB birth dose,Yes
KAZ,1999,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1999,IPV (Inactivated polio vaccine),No
KAZ,1999,Measles-containing vaccine 2nd dose,Yes
KAZ,1999,Meningococcal meningitis vaccines (all strains),No
KAZ,1999,Mumps vaccine,Yes
KAZ,1999,PPV (Pneumococcal polysaccharide vaccine),No
KAZ,1999,Rubella vaccine,No
KAZ,1999,Seasonal Influenza vaccine,No
KAZ,1999,YF (Yellow fever) vaccine,No
KAZ,1998,Hepatitis B vaccine,Yes
KAZ,1998,HepB birth dose,Yes
KAZ,1998,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1998,IPV (Inactivated polio vaccine),No
KAZ,1998,Measles-containing vaccine 2nd dose,Yes
KAZ,1998,Mumps vaccine,Yes
KAZ,1998,Rubella vaccine,No
KAZ,1998,Seasonal Influenza vaccine,No
KAZ,1998,YF (Yellow fever) vaccine,No
KAZ,1997,Hepatitis B vaccine,No
KAZ,1997,HepB birth dose,No
KAZ,1997,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1997,IPV (Inactivated polio vaccine),No
KAZ,1997,Measles-containing vaccine 2nd dose,Yes
KAZ,1997,Mumps vaccine,Yes
KAZ,1997,Rubella vaccine,No
KAZ,1997,Seasonal Influenza vaccine,No
KAZ,1997,YF (Yellow fever) vaccine,No
KAZ,1996,Hepatitis B vaccine,No
KAZ,1996,HepB birth dose,No
KAZ,1996,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1996,IPV (Inactivated polio vaccine),No
KAZ,1996,Measles-containing vaccine 2nd dose,Yes
KAZ,1996,Mumps vaccine,Yes
KAZ,1996,Rubella vaccine,No
KAZ,1996,Seasonal Influenza vaccine,No
KAZ,1996,YF (Yellow fever) vaccine,No
KAZ,1995,Hepatitis B vaccine,No
KAZ,1995,HepB birth dose,No
KAZ,1995,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1995,IPV (Inactivated polio vaccine),No
KAZ,1995,IPV (Inactivated polio vaccine) 2nd dose,No
KAZ,1995,Measles-containing vaccine 2nd dose,Yes
KAZ,1995,Mumps vaccine,Yes
KAZ,1995,Rubella vaccine,No
KAZ,1995,Seasonal Influenza vaccine,No
KAZ,1995,YF (Yellow fever) vaccine,No
KAZ,1994,Hepatitis B vaccine,No
KAZ,1994,HepB birth dose,No
KAZ,1994,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1994,IPV (Inactivated polio vaccine),No
KAZ,1994,Measles-containing vaccine 2nd dose,No
KAZ,1994,Mumps vaccine,No
KAZ,1994,Rubella vaccine,No
KAZ,1994,Seasonal Influenza vaccine,No
KAZ,1994,YF (Yellow fever) vaccine,No
KAZ,1993,Hepatitis B vaccine,No
KAZ,1993,HepB birth dose,No
KAZ,1993,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1993,IPV (Inactivated polio vaccine),No
KAZ,1993,Measles-containing vaccine 2nd dose,No
KAZ,1993,Mumps vaccine,No
KAZ,1993,Rubella vaccine,No
KAZ,1993,Seasonal Influenza vaccine,No
KAZ,1993,YF (Yellow fever) vaccine,No
KAZ,1992,Hepatitis B vaccine,No
KAZ,1992,HepB birth dose,No
KAZ,1992,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1992,IPV (Inactivated polio vaccine),No
KAZ,1992,Measles-containing vaccine 2nd dose,No
KAZ,1992,Mumps vaccine,No
KAZ,1992,Rubella vaccine,No
KAZ,1992,Seasonal Influenza vaccine,No
KAZ,1992,YF (Yellow fever) vaccine,No
KAZ,1991,Hepatitis B vaccine,No
KAZ,1991,HepB birth dose,No
KAZ,1991,Hib (Haemophilus influenzae type B) vaccine,No
KAZ,1991,IPV (Inactivated polio vaccine),No
KAZ,1991,Measles-containing vaccine 2nd dose,No
KAZ,1991,Mumps vaccine,No
KAZ,1991,Rubella vaccine,No
KAZ,1991,Seasonal Influenza vaccine,No
KAZ,1991,YF (Yellow fever) vaccine,No
KEN,2023,aP (acellular pertussis) vaccine,No
KEN,2023,Hepatitis A vaccine,No
KEN,2023,Hepatitis B vaccine,Yes
KEN,2023,HepB birth dose,No
KEN,2023,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2023,HPV (Human Papilloma Virus) vaccine,Yes
KEN,2023,IPV (Inactivated polio vaccine),Yes
KEN,2023,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2023,Japanese Encephalitis,No
KEN,2023,Malaria vaccine,Yes (p)
KEN,2023,Measles-containing vaccine 2nd dose,Yes
KEN,2023,Meningococcal meningitis vaccines (all strains),No
KEN,2023,Mumps vaccine,No
KEN,2023,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2023,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2023,Rotavirus vaccine,Yes
KEN,2023,Rubella vaccine,Yes
KEN,2023,Seasonal Influenza vaccine,No
KEN,2023,Typhoid,No
KEN,2023,Varicella vaccine,No
KEN,2023,YF (Yellow fever) vaccine,High risk area
KEN,2022,aP (acellular pertussis) vaccine,No
KEN,2022,Hepatitis A vaccine,No
KEN,2022,Hepatitis B vaccine,Yes
KEN,2022,HepB birth dose,No
KEN,2022,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2022,HPV (Human Papilloma Virus) vaccine,Yes
KEN,2022,IPV (Inactivated polio vaccine),Yes
KEN,2022,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2022,Japanese Encephalitis,No
KEN,2022,Malaria vaccine,Yes (p)
KEN,2022,Measles-containing vaccine 2nd dose,Yes
KEN,2022,Meningococcal meningitis vaccines (all strains),No
KEN,2022,Mumps vaccine,No
KEN,2022,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2022,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2022,Rotavirus vaccine,Yes
KEN,2022,Rubella vaccine,Yes
KEN,2022,Seasonal Influenza vaccine,No
KEN,2022,Typhoid,No
KEN,2022,Varicella vaccine,No
KEN,2022,YF (Yellow fever) vaccine,High risk area
KEN,2021,aP (acellular pertussis) vaccine,No
KEN,2021,Hepatitis A vaccine,No
KEN,2021,Hepatitis B vaccine,Yes
KEN,2021,HepB birth dose,No
KEN,2021,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2021,HPV (Human Papilloma Virus) vaccine,Yes
KEN,2021,IPV (Inactivated polio vaccine),Yes
KEN,2021,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2021,Japanese Encephalitis,No
KEN,2021,Malaria vaccine,Yes (p)
KEN,2021,Measles-containing vaccine 2nd dose,Yes
KEN,2021,Meningococcal meningitis vaccines (all strains),No
KEN,2021,Mumps vaccine,No
KEN,2021,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2021,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2021,Rotavirus vaccine,Yes
KEN,2021,Rubella vaccine,Yes
KEN,2021,Seasonal Influenza vaccine,No
KEN,2021,Typhoid,No
KEN,2021,Varicella vaccine,No
KEN,2021,YF (Yellow fever) vaccine,High risk area
KEN,2020,aP (acellular pertussis) vaccine,No
KEN,2020,Hepatitis A vaccine,No
KEN,2020,Hepatitis B vaccine,Yes
KEN,2020,HepB birth dose,No
KEN,2020,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2020,HPV (Human Papilloma Virus) vaccine,Yes
KEN,2020,IPV (Inactivated polio vaccine),Yes
KEN,2020,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2020,Japanese Encephalitis,No
KEN,2020,Malaria vaccine,Yes (p)
KEN,2020,Measles-containing vaccine 2nd dose,Yes
KEN,2020,Meningococcal meningitis vaccines (all strains),No
KEN,2020,Mumps vaccine,No
KEN,2020,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2020,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2020,Rotavirus vaccine,Yes
KEN,2020,Rubella vaccine,Yes
KEN,2020,Seasonal Influenza vaccine,No
KEN,2020,Typhoid,No
KEN,2020,Varicella vaccine,No
KEN,2020,YF (Yellow fever) vaccine,High risk area
KEN,2019,aP (acellular pertussis) vaccine,No
KEN,2019,Hepatitis A vaccine,No
KEN,2019,Hepatitis B vaccine,Yes
KEN,2019,HepB birth dose,No
KEN,2019,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2019,HPV (Human Papilloma Virus) vaccine,Yes
KEN,2019,IPV (Inactivated polio vaccine),Yes
KEN,2019,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2019,Japanese Encephalitis,No
KEN,2019,Malaria vaccine,Yes (p)
KEN,2019,Measles-containing vaccine 2nd dose,Yes
KEN,2019,Meningococcal meningitis vaccines (all strains),No
KEN,2019,Mumps vaccine,No
KEN,2019,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2019,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2019,Rotavirus vaccine,Yes
KEN,2019,Rubella vaccine,Yes
KEN,2019,Seasonal Influenza vaccine,No
KEN,2019,Typhoid,No
KEN,2019,Varicella vaccine,No
KEN,2019,YF (Yellow fever) vaccine,High risk area
KEN,2018,aP (acellular pertussis) vaccine,No
KEN,2018,Hepatitis A vaccine,No
KEN,2018,Hepatitis B vaccine,Yes
KEN,2018,HepB birth dose,No
KEN,2018,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2018,HPV (Human Papilloma Virus) vaccine,No
KEN,2018,IPV (Inactivated polio vaccine),Yes
KEN,2018,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2018,Japanese Encephalitis,No
KEN,2018,Measles-containing vaccine 2nd dose,Yes
KEN,2018,Meningococcal meningitis vaccines (all strains),No
KEN,2018,Mumps vaccine,No
KEN,2018,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2018,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2018,Rotavirus vaccine,Yes
KEN,2018,Rubella vaccine,Yes
KEN,2018,Seasonal Influenza vaccine,No
KEN,2018,Typhoid,No
KEN,2018,Varicella vaccine,No
KEN,2018,YF (Yellow fever) vaccine,High risk area
KEN,2017,aP (acellular pertussis) vaccine,No
KEN,2017,Hepatitis A vaccine,No
KEN,2017,Hepatitis B vaccine,Yes
KEN,2017,HepB birth dose,No
KEN,2017,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2017,HPV (Human Papilloma Virus) vaccine,No
KEN,2017,IPV (Inactivated polio vaccine),Yes
KEN,2017,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2017,Japanese Encephalitis,No
KEN,2017,Measles-containing vaccine 2nd dose,Yes
KEN,2017,Meningococcal meningitis vaccines (all strains),No
KEN,2017,Mumps vaccine,No
KEN,2017,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2017,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2017,Rotavirus vaccine,Yes
KEN,2017,Rubella vaccine,Yes
KEN,2017,Seasonal Influenza vaccine,No
KEN,2017,Typhoid,No
KEN,2017,Varicella vaccine,No
KEN,2017,YF (Yellow fever) vaccine,High risk area
KEN,2016,aP (acellular pertussis) vaccine,No
KEN,2016,Hepatitis A vaccine,No
KEN,2016,Hepatitis B vaccine,Yes
KEN,2016,HepB birth dose,No
KEN,2016,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2016,HPV (Human Papilloma Virus) vaccine,No
KEN,2016,IPV (Inactivated polio vaccine),Yes
KEN,2016,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2016,Japanese Encephalitis,No
KEN,2016,Measles-containing vaccine 2nd dose,Yes
KEN,2016,Meningococcal meningitis vaccines (all strains),No
KEN,2016,Mumps vaccine,No
KEN,2016,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2016,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2016,Rotavirus vaccine,Yes
KEN,2016,Rubella vaccine,No
KEN,2016,Seasonal Influenza vaccine,No
KEN,2016,Typhoid,No
KEN,2016,Varicella vaccine,No
KEN,2016,YF (Yellow fever) vaccine,High risk area
KEN,2015,aP (acellular pertussis) vaccine,No
KEN,2015,Hepatitis A vaccine,No
KEN,2015,Hepatitis B vaccine,Yes
KEN,2015,HepB birth dose,No
KEN,2015,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2015,HPV (Human Papilloma Virus) vaccine,No
KEN,2015,IPV (Inactivated polio vaccine),Yes
KEN,2015,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2015,Japanese Encephalitis,No
KEN,2015,Measles-containing vaccine 2nd dose,Yes
KEN,2015,Meningococcal meningitis vaccines (all strains),No
KEN,2015,Mumps vaccine,No
KEN,2015,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2015,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2015,Rotavirus vaccine,Yes
KEN,2015,Rubella vaccine,No
KEN,2015,Seasonal Influenza vaccine,No
KEN,2015,Typhoid,No
KEN,2015,Varicella vaccine,No
KEN,2015,YF (Yellow fever) vaccine,High risk area
KEN,2014,aP (acellular pertussis) vaccine,No
KEN,2014,Hepatitis A vaccine,No
KEN,2014,Hepatitis B vaccine,Yes
KEN,2014,HepB birth dose,No
KEN,2014,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2014,HPV (Human Papilloma Virus) vaccine,No
KEN,2014,IPV (Inactivated polio vaccine),No
KEN,2014,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2014,Japanese Encephalitis,No
KEN,2014,Measles-containing vaccine 2nd dose,Yes
KEN,2014,Meningococcal meningitis vaccines (all strains),No
KEN,2014,Mumps vaccine,No
KEN,2014,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2014,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2014,Rotavirus vaccine,Yes
KEN,2014,Rubella vaccine,No
KEN,2014,Seasonal Influenza vaccine,No
KEN,2014,Typhoid,No
KEN,2014,Varicella vaccine,No
KEN,2014,YF (Yellow fever) vaccine,High risk area
KEN,2013,aP (acellular pertussis) vaccine,No
KEN,2013,Hepatitis A vaccine,No
KEN,2013,Hepatitis B vaccine,Yes
KEN,2013,HepB birth dose,No
KEN,2013,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2013,HPV (Human Papilloma Virus) vaccine,No
KEN,2013,IPV (Inactivated polio vaccine),No
KEN,2013,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2013,Japanese Encephalitis,No
KEN,2013,Measles-containing vaccine 2nd dose,Yes
KEN,2013,Meningococcal meningitis vaccines (all strains),No
KEN,2013,Mumps vaccine,No
KEN,2013,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2013,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2013,Rotavirus vaccine,No
KEN,2013,Rubella vaccine,No
KEN,2013,Seasonal Influenza vaccine,No
KEN,2013,Typhoid,No
KEN,2013,Varicella vaccine,No
KEN,2013,YF (Yellow fever) vaccine,High risk area
KEN,2012,aP (acellular pertussis) vaccine,No
KEN,2012,Hepatitis A vaccine,No
KEN,2012,Hepatitis B vaccine,Yes
KEN,2012,HepB birth dose,No
KEN,2012,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2012,HPV (Human Papilloma Virus) vaccine,No
KEN,2012,IPV (Inactivated polio vaccine),No
KEN,2012,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2012,Japanese Encephalitis,No
KEN,2012,Measles-containing vaccine 2nd dose,No
KEN,2012,Meningococcal meningitis vaccines (all strains),No
KEN,2012,Mumps vaccine,No
KEN,2012,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2012,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2012,Rotavirus vaccine,No
KEN,2012,Rubella vaccine,No
KEN,2012,Seasonal Influenza vaccine,No
KEN,2012,Typhoid,No
KEN,2012,Varicella vaccine,No
KEN,2012,YF (Yellow fever) vaccine,High risk area
KEN,2011,aP (acellular pertussis) vaccine,No
KEN,2011,Hepatitis A vaccine,No
KEN,2011,Hepatitis B vaccine,Yes
KEN,2011,HepB birth dose,No
KEN,2011,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2011,HPV (Human Papilloma Virus) vaccine,No
KEN,2011,IPV (Inactivated polio vaccine),No
KEN,2011,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2011,Japanese Encephalitis,No
KEN,2011,Measles-containing vaccine 2nd dose,No
KEN,2011,Meningococcal meningitis vaccines (all strains),No
KEN,2011,Mumps vaccine,No
KEN,2011,PCV (Pneumococcal conjugate vaccine),Yes
KEN,2011,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2011,Rotavirus vaccine,No
KEN,2011,Rubella vaccine,No
KEN,2011,Seasonal Influenza vaccine,No
KEN,2011,Typhoid,No
KEN,2011,Varicella vaccine,No
KEN,2011,YF (Yellow fever) vaccine,High risk area
KEN,2010,aP (acellular pertussis) vaccine,No
KEN,2010,Hepatitis A vaccine,No
KEN,2010,Hepatitis B vaccine,Yes
KEN,2010,HepB birth dose,No
KEN,2010,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2010,HPV (Human Papilloma Virus) vaccine,No
KEN,2010,IPV (Inactivated polio vaccine),No
KEN,2010,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2010,Japanese Encephalitis,No
KEN,2010,Measles-containing vaccine 2nd dose,No
KEN,2010,Meningococcal meningitis vaccines (all strains),No
KEN,2010,Mumps vaccine,No
KEN,2010,PCV (Pneumococcal conjugate vaccine),No
KEN,2010,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2010,Rotavirus vaccine,No
KEN,2010,Rubella vaccine,No
KEN,2010,Seasonal Influenza vaccine,No
KEN,2010,Typhoid,No
KEN,2010,Varicella vaccine,No
KEN,2010,YF (Yellow fever) vaccine,High risk area
KEN,2009,aP (acellular pertussis) vaccine,No
KEN,2009,Hepatitis A vaccine,No
KEN,2009,Hepatitis B vaccine,Yes
KEN,2009,HepB birth dose,No
KEN,2009,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2009,HPV (Human Papilloma Virus) vaccine,No
KEN,2009,IPV (Inactivated polio vaccine),No
KEN,2009,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2009,Japanese Encephalitis,No
KEN,2009,Measles-containing vaccine 2nd dose,No
KEN,2009,Meningococcal meningitis vaccines (all strains),No
KEN,2009,Mumps vaccine,No
KEN,2009,PCV (Pneumococcal conjugate vaccine),No
KEN,2009,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2009,Rotavirus vaccine,No
KEN,2009,Rubella vaccine,No
KEN,2009,Seasonal Influenza vaccine,No
KEN,2009,Typhoid,No
KEN,2009,Varicella vaccine,No
KEN,2009,YF (Yellow fever) vaccine,High risk area
KEN,2008,aP (acellular pertussis) vaccine,No
KEN,2008,Hepatitis A vaccine,No
KEN,2008,Hepatitis B vaccine,Yes
KEN,2008,HepB birth dose,No
KEN,2008,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2008,HPV (Human Papilloma Virus) vaccine,No
KEN,2008,IPV (Inactivated polio vaccine),No
KEN,2008,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2008,Japanese Encephalitis,No
KEN,2008,Measles-containing vaccine 2nd dose,No
KEN,2008,Meningococcal meningitis vaccines (all strains),No
KEN,2008,Mumps vaccine,No
KEN,2008,PCV (Pneumococcal conjugate vaccine),No
KEN,2008,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2008,Rotavirus vaccine,No
KEN,2008,Rubella vaccine,No
KEN,2008,Seasonal Influenza vaccine,No
KEN,2008,Typhoid,No
KEN,2008,Varicella vaccine,No
KEN,2008,YF (Yellow fever) vaccine,High risk area
KEN,2007,aP (acellular pertussis) vaccine,No
KEN,2007,Hepatitis A vaccine,No
KEN,2007,Hepatitis B vaccine,Yes
KEN,2007,HepB birth dose,No
KEN,2007,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2007,HPV (Human Papilloma Virus) vaccine,No
KEN,2007,IPV (Inactivated polio vaccine),No
KEN,2007,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2007,Japanese Encephalitis,No
KEN,2007,Measles-containing vaccine 2nd dose,No
KEN,2007,Meningococcal meningitis vaccines (all strains),No
KEN,2007,Mumps vaccine,No
KEN,2007,PCV (Pneumococcal conjugate vaccine),No
KEN,2007,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2007,Rotavirus vaccine,No
KEN,2007,Rubella vaccine,No
KEN,2007,Seasonal Influenza vaccine,No
KEN,2007,Typhoid,No
KEN,2007,Varicella vaccine,No
KEN,2007,YF (Yellow fever) vaccine,High risk area
KEN,2006,aP (acellular pertussis) vaccine,No
KEN,2006,Hepatitis A vaccine,No
KEN,2006,Hepatitis B vaccine,Yes
KEN,2006,HepB birth dose,No
KEN,2006,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2006,HPV (Human Papilloma Virus) vaccine,No
KEN,2006,IPV (Inactivated polio vaccine),No
KEN,2006,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2006,Japanese Encephalitis,No
KEN,2006,Measles-containing vaccine 2nd dose,No
KEN,2006,Meningococcal meningitis vaccines (all strains),No
KEN,2006,Mumps vaccine,No
KEN,2006,PCV (Pneumococcal conjugate vaccine),No
KEN,2006,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2006,Rotavirus vaccine,No
KEN,2006,Rubella vaccine,No
KEN,2006,Seasonal Influenza vaccine,No
KEN,2006,Typhoid,No
KEN,2006,Varicella vaccine,No
KEN,2006,YF (Yellow fever) vaccine,High risk area
KEN,2005,aP (acellular pertussis) vaccine,No
KEN,2005,Hepatitis A vaccine,No
KEN,2005,Hepatitis B vaccine,Yes
KEN,2005,HepB birth dose,No
KEN,2005,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2005,IPV (Inactivated polio vaccine),No
KEN,2005,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2005,Japanese Encephalitis,No
KEN,2005,Measles-containing vaccine 2nd dose,No
KEN,2005,Meningococcal meningitis vaccines (all strains),No
KEN,2005,Mumps vaccine,No
KEN,2005,PCV (Pneumococcal conjugate vaccine),No
KEN,2005,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2005,Rubella vaccine,No
KEN,2005,Seasonal Influenza vaccine,No
KEN,2005,Typhoid,No
KEN,2005,Varicella vaccine,No
KEN,2005,YF (Yellow fever) vaccine,High risk area
KEN,2004,aP (acellular pertussis) vaccine,No
KEN,2004,Hepatitis A vaccine,No
KEN,2004,Hepatitis B vaccine,Yes
KEN,2004,HepB birth dose,No
KEN,2004,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2004,IPV (Inactivated polio vaccine),No
KEN,2004,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2004,Japanese Encephalitis,No
KEN,2004,Measles-containing vaccine 2nd dose,No
KEN,2004,Meningococcal meningitis vaccines (all strains),No
KEN,2004,Mumps vaccine,No
KEN,2004,PCV (Pneumococcal conjugate vaccine),No
KEN,2004,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2004,Rubella vaccine,No
KEN,2004,Seasonal Influenza vaccine,No
KEN,2004,Typhoid,No
KEN,2004,Varicella vaccine,No
KEN,2004,YF (Yellow fever) vaccine,High risk area
KEN,2003,aP (acellular pertussis) vaccine,No
KEN,2003,Hepatitis A vaccine,No
KEN,2003,Hepatitis B vaccine,Yes
KEN,2003,HepB birth dose,No
KEN,2003,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2003,IPV (Inactivated polio vaccine),No
KEN,2003,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2003,Japanese Encephalitis,No
KEN,2003,Measles-containing vaccine 2nd dose,No
KEN,2003,Meningococcal meningitis vaccines (all strains),No
KEN,2003,Mumps vaccine,No
KEN,2003,PCV (Pneumococcal conjugate vaccine),No
KEN,2003,PPV (Pneumococcal polysaccharide vaccine),No
KEN,2003,Rubella vaccine,No
KEN,2003,Seasonal Influenza vaccine,No
KEN,2003,Typhoid,No
KEN,2003,Varicella vaccine,No
KEN,2003,YF (Yellow fever) vaccine,High risk area
KEN,2002,aP (acellular pertussis) vaccine,No
KEN,2002,Hepatitis A vaccine,No
KEN,2002,Hepatitis B vaccine,Yes
KEN,2002,HepB birth dose,No
KEN,2002,Hib (Haemophilus influenzae type B) vaccine,Yes
KEN,2002,IPV (Inactivated polio vaccine),No
KEN,2002,IPV (Inactivated polio vaccine) 2nd dose,No
KEN,2002,Japanese Encephalitis,No
